,new_plot_code,rai_2566,tons_per_rai_2566,cane_type_2566,soil_2566,cane_area_2566,rai_2567,tons_per_rai_2567,cane_type_2567,soil_2567,cane_area_2567,rai_2568,tons_per_rai_2568,cane_type_2568,soil_2568,cane_area_2568,water,average_yield,average_area,additional_yield,average_additional_water(mm),yield_probability
196,911112,หนองขาม,14.598881050839214,อ้อยน้ำราด,เหนียว,41.11,หนองขาม,5.540987594259303,อ้อยตอ 1,เหนียว,41.11,หนองขาม,5.363305865244789,อ้อยตอ 2,เหนียว,41.26,ชลประทาน (> 3 ครั้ง),8.501058170114435,41.16,1.4119554242234056,540.7185310263422,0.26835604258130985
197,911113,หนองขาม,16.4612601106854,อ้อยตอ 1,เหนียว,46.98,หนองขาม,6.892720306513412,อ้อยตอ 2,เหนียว,46.98,หนองขาม,8.386729654283874,อ้อยน้ำราด,เหนียว,46.57,น้ำเสริม (1-3 ครั้ง),10.58023669049423,46.843333333333334,3.4911339446032006,342.70152908540945,1.0
198,911114,หนองขาม,12.613861386138614,อ้อยตอ 2,ทราย ,8.08,หนองขาม,8.410891089108912,อ้อยตอ 3,ทราย ,8.08,หนองขาม,7.976485148514851,อ้อยน้ำราด,ทราย,8.08,น้ำเสริม (1-3 ครั้ง),9.667079207920791,8.08,2.5779764620297616,429.6689083781179,0.4921855366392148
199,911110,หนองขาม,15.213742272943408,อ้อยตอ 2,เหนียว,42.06,หนองขาม,7.291963861150737,อ้อยตอ 3,เหนียว,42.06,หนองขาม,10.93651925820257,อ้อยน้ำราด,เหนียว,42.06,น้ำเสริม (1-3 ครั้ง),11.147408464098907,42.06,4.058305718207878,288.6851696944878,1.0
200,900115,ทัพหลวง,15.731180704143163,อ้อยตุลาคม,ทราย ,51.41,ทัพหลวง,3.901186539583739,อ้อยตอ 1,ทราย ,51.41,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),9.816183621863452,51.41,2.7270808759724225,415.46848800262643,1.0
201,900112,ทัพหลวง,19.53722538649309,อ้อยตุลาคม,ทราย ,49.16,ทัพหลวง,2.726403580146461,อ้อยตอ 1,ทราย ,49.16,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),11.131814483319776,49.16,4.042711737428746,290.17031072107176,1.0
202,900116,ทัพหลวง,12.04264705882353,อ้อยตุลาคม,ทราย ,34.0,ทัพหลวง,3.189324817518248,อ้อยตอ 1,ทราย ,21.92,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),7.615985938170889,27.96,0.5268831922798594,625.0111245447753,0.14189126701457433
203,900117,ทัพหลวง,14.89083820662768,อ้อยตุลาคม,ทราย ,10.26,ทัพหลวง,6.76803118908382,อ้อยตอ 1,ทราย ,10.26,ทัพหลวง,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),10.829434697855751,10.26,3.7403319519647216,318.96838552716935,1.0
204,917127,เขาประทุน,15.017703960576748,อ้อยน้ำราด,เหนียว,54.79,เขาประทุน,11.504289103851068,อ้อยตอ 1,เหนียว,54.79,เขาประทุน,8.385498269265804,อ้อยตอ 2,เหนียว,54.89,ชลประทาน (> 3 ครั้ง),11.63583044456454,54.82333333333333,4.546727698673511,242.1687906025228,1.0
205,917128,เขาประทุน,13.341848234410218,อ้อยน้ำราด,เหนียว,39.93,เขาประทุน,10.348610067618331,อ้อยตอ 1,เหนียว,39.93,เขาประทุน,10.071049304677624,อ้อยตอ 2,เหนียว,39.55,ชลประทาน (> 3 ครั้ง),11.253835868902058,39.803333333333335,4.164733123011029,278.549226379902,1.0
206,917129,เขาประทุน,17.374948833401557,อ้อยน้ำราด,ทราย ,24.43,เขาประทุน,10.420794105607856,อ้อยตอ 1,เหนียว,24.43,เขาประทุน,9.304134261154315,อ้อยตอ 2,เหนียว,24.43,ชลประทาน (> 3 ครั้ง),12.366625733387911,24.429999999999996,5.277522987496882,172.56923928601125,1.0
207,917130,เขาประทุน,13.867945823927766,อ้อยตุลาคม,ทราย ,8.86,เขาประทุน,9.424379232505643,อ้อยตอ 1,เหนียว,8.86,เขาประทุน,6.997701149425288,อ้อยตอ 2,เหนียว,8.7,น้ำเสริม (1-3 ครั้ง),10.096675401952899,8.806666666666667,3.0075726560618694,388.7549851369648,1.0
208,917131,เขาประทุน,12.251409618573796,อ้อยตอ 2,ทราย ,30.15,เขาประทุน,11.601665065642008,อ้อยน้ำราด,เหนียว,31.23,เขาประทุน,8.918589743589743,อ้อยตอ 1,เหนียว,31.2,ชลประทาน (> 3 ครั้ง),10.923888142601848,30.86,3.834785396710819,309.9728193608744,1.0
209,928119,หนองแก ,11.180599369085174,อ้อยตอ 1,ทราย ,25.36,หนองแก ,3.558359621451104,อ้อยตอ 2,ทราย ,25.36,หนองแก ,8.37539432176656,อ้อยน้ำราด,ทราย,25.36,ชลประทาน (> 3 ครั้ง),7.70478443743428,25.36,0.6156816915432506,616.5541246149285,0.15237401623774532
210,928125,หนองแก ,10.696907216494845,อ้อยตอ 1,ทราย ,9.7,หนองแก ,10.49381443298969,อ้อยน้ำราด,ทราย ,9.7,หนองแก ,9.32783505154639,อ้อยตอ 1,ทราย,9.7,น้ำเสริม (1-3 ครั้ง),10.172852233676975,9.7,3.083749487785946,381.50004878229083,1.0
211,928126,หนองแก ,10.442332896461336,อ้อยตอ 1,ทราย ,15.26,หนองแก ,8.271297509829619,อ้อยน้ำราด,ทราย ,15.26,หนองแก ,8.277633289986996,อ้อยตอ 1,ทราย,15.38,น้ำเสริม (1-3 ครั้ง),8.997087898759316,15.299999999999999,1.907985152868287,493.4776044887346,0.35818494034175186
212,928127,หนองแก ,10.973280943025545,อ้อยตอ 1,ทราย ,25.45,หนองแก ,7.9245579567779965,อ้อยน้ำราด,ทราย ,25.45,หนองแก ,5.997248427672956,อ้อยตอ 1,ทราย,25.44,น้ำเสริม (1-3 ครั้ง),8.298362442492165,25.44666666666667,1.2092596966011353,560.0228860379871,0.2352144182305484
213,928128,หนองแก ,13.120343839541547,อ้อยน้ำราด,ทราย ,20.94,หนองแก ,3.292741165234002,อ้อยตอ 1,ทราย ,20.94,หนองแก ,,พักดิน,ทราย,,น้ำเสริม (1-3 ครั้ง),8.206542502387775,20.94,1.1174397564967453,568.7676422384052,0.2209799504766493
214,928130,หนองแก ,10.881694644284572,อ้อยน้ำราด,ทราย ,12.51,หนองแก ,4.972821742605915,อ้อยตอ 1,ทราย ,12.51,หนองแก ,4.679407176287051,อ้อยตอ 2,ทราย,12.82,ชลประทาน (> 3 ครั้ง),6.844641187725846,12.613333333333335,0.0,675.1904761904761,0.07110868560635336
215,928131,หนองแก ,14.469554300062772,อ้อยตุลาคม,ทราย ,15.93,หนองแก ,6.030759573132454,อ้อยตอ 1,ทราย ,15.93,หนองแก ,5.6798780487804885,อ้อยตอ 2,ทราย,16.4,ชลประทาน (> 3 ครั้ง),8.726730640658571,16.086666666666666,1.637627894767542,519.2259147840437,0.30782816905082055
216,928132,หนองแก ,13.877275091003638,อ้อยตุลาคม,ทราย ,19.23,หนองแก ,6.9074362974518975,อ้อยตอ 1,ทราย ,19.23,หนองแก ,,อ้อยตอ 2,ทราย,0.0,ชลประทาน (> 3 ครั้ง),10.392355694227767,12.82,3.3032529483367377,360.5949573012631,1.0
217,928101,หนองแก ,13.953287197231834,อ้อยน้ำราด,ทราย ,23.12,หนองแก ,10.577422145328718,อ้อยตอ 1,ทราย ,23.12,หนองแก ,9.701124567474048,อ้อยตอ 2,ทราย,23.12,ชลประทาน (> 3 ครั้ง),11.410611303344867,23.12,4.321508557453837,263.61823262344404,1.0
218,928102,หนองแก ,8.683865999229882,อ้อยตอ 1,ทราย ,25.97,หนองแก ,6.946861763573354,อ้อยต้นฝน,เหนียว,25.97,หนองแก ,9.86066204772902,อ้อยตอ 1,ทราย,25.98,ชลประทาน (> 3 ครั้ง),8.497129936844084,25.973333333333333,1.4080271909530548,541.0926484806614,0.26769214498663485
219,928103,หนองแก ,13.87408585055644,อ้อยน้ำราด,ทราย ,31.45,หนองแก ,9.36279809220986,อ้อยตอ 1,ทราย ,31.45,หนองแก ,12.69431204321576,อ้อยน้ำราด,ทราย,31.47,ชลประทาน (> 3 ครั้ง),11.977065328660686,31.456666666666667,4.8879625827696564,209.67023021241368,1.0
220,928105,หนองแก ,14.088607594936708,อ้อยตุลาคม,ทราย ,13.43,หนองแก ,4.929262844378258,อ้อยตอ 1,ทราย ,13.43,หนองแก ,8.727681920480121,อ้อยน้ำราด,ทราย,13.33,ชลประทาน (> 3 ครั้ง),9.248517453265029,13.396666666666667,2.1594147073739993,469.53193263104765,0.40736680703434214
